,0
sex,0.7226726718029796
Age,1.0891798275297726
mc,1.2001970438409577
iSBP,0.793276898683303
iDBP,1.0047651006243545
iPR,0.8695394858106558
iRR,1.4722674842535834
iBT,0.8796376818729047
iSpO,1.188916209750551
Qsofa,0.6072069648808007
bed,2.368695952335085
Foley,0.7993239133931319
Hsp-acq,4.127628944400219
Nursing,1.377086733482291
3m-Ab,1.842149232277255
3m-Adm,0.9550877465286836
1y-UTI,2.5176411252625908
PPIantacid,0.9834299561298587
DM,1.005945985300747
HTN,0.43374458050625564
CV,1.1260031799885672
CRF,1.3182713169445444
total malig,0.5833451589658059
NR,0.6683230436764003
pH,1.0473441615249122
pCO2,1.0454508431108231
pO2,1.0911344281154611
HCO3,1.301976228860557
SaO2,0.01485344391422521
lactic acid,1.0698564343204462
Leukopenia,1.2923654826790931
WBC,1.04805075720841
Hb,0.3369645515983022
Plt,1.01854057352389
CRP,0.9877298931834162
Glu,1.0456110670109207
BUN,0.25750021219359626
Cr,2.3817083696581034
